locality,longitude,latitude,KG-class,KG-descr,KG_numcode
chiredzi,31.677778,-21.038889,BSh,Arid-Steppe-Hot,13
triangle,31.451389,-21.027778,BSh,Arid-Steppe-Hot,13
pafuri,31.321279,-22.450097,BSh,Arid-Steppe-Hot,13
masvingo,30.832778,-20.074444,BSh,Arid-Steppe-Hot,13
gweru,29.802222,-19.461389,CWb,Temperate-DryWinter-WarmSummer,1
west-nicholson,29.366667,-21.066667,BSh,Arid-Steppe-Hot,13
harare,31.029722,-17.863889,CWb,Temperate-DryWinter-WarmSummer,1
mutare,32.633333,-18.966667,CWa,Temperate-DryWinter-HotSummer,5
birchenough-bridge,32.33626,-19.965656,BSh,Arid-Steppe-Hot,13
chimanimani,32.873312,-19.80324,CWb,Temperate-DryWinter-WarmSummer,1
phalaborwa,31.140922,-23.942443,BSh,Arid-Steppe-Hot,13
mutoko,32.216667,-17.4,CWa,Temperate-DryWinter-HotSummer,5
malipati,31.41276,-22.071143,BSh,Arid-Steppe-Hot,13
rutenga,30.733333,-21.25,BSh,Arid-Steppe-Hot,13
massangena,32.950809,-21.546863,BSh,Arid-Steppe-Hot,13
machaila,32.915591,-22.255538,BSh,Arid-Steppe-Hot,13
chigubo,33.348615,-22.958897,BSh,Arid-Steppe-Hot,13
pelane,32.854271,-24.251347,BSh,Arid-Steppe-Hot,13
chokwe,32.9832,-24.532317,BSh,Arid-Steppe-Hot,13
chinhacanine,32.9375,-22.265556,BSh,Arid-Steppe-Hot,13
conhane,33.133333,-24.7,CFa,Temperate-HotSummer,3
chipinge,32.62,-20.2,CWb,Temperate-DryWinter-WarmSummer,1
chibuwe,32.4,-20.55,BSh,Arid-Steppe-Hot,13
chibunge,32.391815,-20.531219,BSh,Arid-Steppe-Hot,13
espungabera,32.780236,-20.455033,CWb,Temperate-DryWinter-WarmSummer,1
checheche,32.221527,-20.790782,BSh,Arid-Steppe-Hot,13
jerera,31.449903,-20.468413,CWa,Temperate-DryWinter-HotSummer,5
manica,33.438353,-19.505979,CWa,Temperate-DryWinter-HotSummer,5
chikombedzi,31.25,-21.583333,BSh,Arid-Steppe-Hot,13
musina,30.041667,-22.338056,BWh,Arid-Desert-Hot,15
beitbridge,30,-22.216667,BWh,Arid-Desert-Hot,15
chikwarakwara,31.983611,-20.828611,BSh,Arid-Steppe-Hot,13
the_outpost_lodge,31.081352,-22.447524,BSh,Arid-Steppe-Hot,13
chicualacuala,31.683333,-22.083333,BWh,Arid-Desert-Hot,15
domasse,32.606548,-22.508618,BSh,Arid-Steppe-Hot,13
malvernia,31.683333,-22.083333,BSh,Arid-Steppe-Hot,13
mkhulu,31.254387,-24.982946,BSh,Arid-Steppe-Hot,13
dumisa,31.386566,-22.227455,BSh,Arid-Steppe-Hot,13
punda_maria_rest_camp,31.017838,-22.72869,BSh,Arid-Steppe-Hot,13
giyani,30.706389,-23.31,BSh,Arid-Steppe-Hot,13
ngwenani,30.438644,-22.938574,CWa,Temperate-DryWinter-HotSummer,5
malamulele,30.716314,-23.012167,CWa,Temperate-DryWinter-HotSummer,5
thsidzini,30.651627,-22.850674,BSh,Arid-Steppe-Hot,13
shingwedzi_rest_cam,31.396179,-23.055726,BSh,Arid-Steppe-Hot,13
massingir,32.162,-23.921,BSh,Arid-Steppe-Hot,13
mabalane,32.621,-23.849,BSh,Arid-Steppe-Hot,13
mabote,34.132,-22.041,BSh,Arid-Steppe-Hot,13
chinhacanine,32.9375,-22.265556,BSh,Arid-Steppe-Hot,13
xai-xai,33.65,-25.05,Am,Tropical Savannah,10
chipenhe,33.465042,-24.948709,Am,Tropical Savannah,10
chibuto,33.533333,-24.683333,Am,Tropical Savannah,10
funhalouro,34.384,-23.093,BSh,Arid-Steppe-Hot,13
